STATE,COUNTY,STATENAME,COUNTYNAME,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL
08,063,Colorado,Kit Carson,8270,5596502129,4243,51.31,3838628,0.07,2862.8,0,0,0,0,,4243,51.31,3838628,0.07,2862.8,4027,48.69,5592663501,99.93,1.9
08,065,Colorado,Lake,7310,976194289,5039,68.93,8633888,0.88,1511.6,0,0,0,0,,5039,68.93,8633888,0.88,1511.6,2271,31.07,967560401,99.12,6.1
08,067,Colorado,La Plata,51334,4382462547,20560,40.05,28899868,0.66,1842.6,0,0,0,0,,20560,40.05,28899868,0.66,1842.6,30774,59.95,4353562679,99.34,18.3
08,069,Colorado,Larimer,299630,6723613486,264692,88.34,295105375,4.39,2323.1,251386,83.9,268639465,4,2423.6,13306,4.44,26465910,0.39,1302.1,34938,11.66,6428508111,95.61,14.1
08,071,Colorado,Las Animas,15507,12361162110,9181,59.21,15214358,0.12,1562.9,0,0,0,0,,9181,59.21,15214358,0.12,1562.9,6326,40.79,12345947752,99.88,1.3
08,073,Colorado,Lincoln,5467,6676021407,0,0,0,0,,0,0,0,0,,0,0,0,0,,5467,100,6676021407,100,2.1
08,075,Colorado,Logan,22709,4761813494,16088,70.84,16799004,0.35,2480.4,0,0,0,0,,16088,70.84,16799004,0.35,2480.4,6621,29.16,4745014490,99.65,3.6
08,077,Colorado,Mesa,146723,8622002815,128124,87.32,204086143,2.37,1626,128124,87.32,204086143,2.37,1626,0,0,0,0,,18599,12.68,8417916672,97.63,5.7
08,079,Colorado,Mineral,712,2267965576,0,0,0,0,,0,0,0,0,,0,0,0,0,,712,100,2267965576,100,0.8
08,081,Colorado,Moffat,13795,12285064917,10021,72.64,14724778,0.12,1762.6,0,0,0,0,,10021,72.64,14724778,0.12,1762.6,3774,27.36,12270340139,99.88,0.8
08,083,Colorado,Montezuma,25535,5256450876,8380,32.82,9510796,0.18,2282,0,0,0,0,,8380,32.82,9510796,0.18,2282,17155,67.18,5246940080,99.82,8.5
08,085,Colorado,Montrose,41276,5803373218,22706,55.01,46969883,0.81,1252,0,0,0,0,,22706,55.01,46969883,0.81,1252,18570,44.99,5756403335,99.19,8.4
08,087,Colorado,Morgan,28159,3316304952,18994,67.45,19104051,0.58,2575.1,0,0,0,0,,18994,67.45,19104051,0.58,2575.1,9165,32.55,3297200901,99.42,7.2
08,089,Colorado,Otero,18831,3268465106,12352,65.59,14448634,0.44,2214.2,0,0,0,0,,12352,65.59,14448634,0.44,2214.2,6479,34.41,3254016472,99.56,5.2
08,091,Colorado,Ouray,4436,1402718909,0,0,0,0,,0,0,0,0,,0,0,0,0,,4436,100,1402718909,100,8.2
08,093,Colorado,Park,16206,5682034441,0,0,0,0,,0,0,0,0,,0,0,0,0,,16206,100,5682034441,100,7.4
08,095,Colorado,Phillips,4442,1781724987,0,0,0,0,,0,0,0,0,,0,0,0,0,,4442,100,1781724987,100,6.5
08,097,Colorado,Pitkin,17148,2514094239,9568,55.8,14396292,0.57,1721.3,0,0,0,0,,9568,55.8,14396292,0.57,1721.3,7580,44.2,2499697947,99.43,7.9
08,099,Colorado,Prowers,12551,4243422095,7796,62.11,12614090,0.3,1600.7,0,0,0,0,,7796,62.11,12614090,0.3,1600.7,4755,37.89,4230808005,99.7,2.9
08,101,Colorado,Pueblo,159063,6179980907,136550,85.85,192206845,3.11,1840,136550,85.85,192206845,3.11,1840,0,0,0,0,,22513,14.15,5987774062,96.89,9.7
08,103,Colorado,Rio Blanco,6666,8342179365,0,0,0,0,,0,0,0,0,,0,0,0,0,,6666,100,8342179365,100,2.1
08,105,Colorado,Rio Grande,11982,2361959921,4489,37.46,5444967,0.23,2135.3,0,0,0,0,,4489,37.46,5444967,0.23,2135.3,7493,62.54,2356514954,99.77,8.2
08,107,Colorado,Routt,23509,6117619255,12888,54.82,21133485,0.35,1579.5,0,0,0,0,,12888,54.82,21133485,0.35,1579.5,10621,45.18,6096485770,99.65,4.5
08,109,Colorado,Saguache,6108,8206440775,0,0,0,0,,0,0,0,0,,0,0,0,0,,6108,100,8206440775,100,1.9
08,111,Colorado,San Juan,699,1003588157,0,0,0,0,,0,0,0,0,,0,0,0,0,,699,100,1003588157,100,1.8
08,113,Colorado,San Miguel,7359,3332308274,0,0,0,0,,0,0,0,0,,0,0,0,0,,7359,100,3332308274,100,5.7
08,115,Colorado,Sedgwick,2379,1419419181,0,0,0,0,,0,0,0,0,,0,0,0,0,,2379,100,1419419181,100,4.3
08,117,Colorado,Summit,27994,1575639358,22530,80.48,40012811,2.54,1458.3,0,0,0,0,,22530,80.48,40012811,2.54,1458.3,5464,19.52,1535626547,97.46,9.2
08,119,Colorado,Teller,23350,1442767059,8732,37.4,17408343,1.21,1299.1,0,0,0,0,,8732,37.4,17408343,1.21,1299.1,14618,62.6,1425358716,98.79,26.6
08,121,Colorado,Washington,4814,6521670287,0,0,0,0,,0,0,0,0,,0,0,0,0,,4814,100,6521670287,100,1.9
08,123,Colorado,Weld,252825,10326898753,201097,79.54,215353857,2.09,2418.5,145693,57.63,148526814,1.44,2540.6,55404,21.91,66827043,0.65,2147.3,51728,20.46,10111544896,97.91,13.2
08,125,Colorado,Yuma,10043,6123779829,3524,35.09,3970008,0.06,2299,0,0,0,0,,3524,35.09,3970008,0.06,2299,6519,64.91,6119809821,99.94,2.8
20,001,Kansas,Allen,13371,1295779123,5729,42.85,7920312,0.61,1873.4,0,0,0,0,,5729,42.85,7920312,0.61,1873.4,7642,57.15,1287858811,99.39,15.4
20,003,Kansas,Anderson,8102,1501276302,3336,41.18,5121757,0.34,1687,0,0,0,0,,3336,41.18,5121757,0.34,1687,4766,58.82,1496154545,99.66,8.3
20,005,Kansas,Atchison,16924,1116729659,11144,65.85,15561286,1.39,1854.8,0,0,0,0,,11144,65.85,15561286,1.39,1854.8,5780,34.15,1101168373,98.61,13.6
20,007,Kansas,Barber,4861,2937235546,0,0,0,0,,0,0,0,0,,0,0,0,0,,4861,100,2937235546,100,4.3
20,009,Kansas,Barton,27674,2319075093,18886,68.24,20057262,0.86,2438.7,0,0,0,0,,18886,68.24,20057262,0.86,2438.7,8788,31.76,2299017831,99.14,9.9
20,011,Kansas,Bourbon,15173,1645861744,7895,52.03,10837271,0.66,1886.8,0,0,0,0,,7895,52.03,10837271,0.66,1886.8,7278,47.97,1635024473,99.34,11.5
20,013,Kansas,Brown,9984,1478551884,3151,31.56,5588159,0.38,1460.4,0,0,0,0,,3151,31.56,5588159,0.38,1460.4,6833,68.44,1472963725,99.62,12
20,015,Kansas,Butler,65880,3703329246,39216,59.53,55737548,1.51,1822.3,11492,17.44,18749026,0.51,1587.5,27724,42.08,36988522,1,1941.3,26664,40.47,3647591698,98.49,18.9
20,017,Kansas,Chase,2790,2002216830,0,0,0,0,,0,0,0,0,,0,0,0,0,,2790,100,2002216830,100,3.6
20,019,Kansas,Chautauqua,3669,1654693205,0,0,0,0,,0,0,0,0,,0,0,0,0,,3669,100,1654693205,100,5.7
20,021,Kansas,Cherokee,21603,1521793550,11004,50.94,20562849,1.35,1386,0,0,0,0,,11004,50.94,20562849,1.35,1386,10599,49.06,1501230701,98.65,18.3
20,023,Kansas,Cheyenne,2726,2641495949,0,0,0,0,,0,0,0,0,,0,0,0,0,,2726,100,2641495949,100,2.7
20,025,Kansas,Clark,2215,2524286181,0,0,0,0,,0,0,0,0,,0,0,0,0,,2215,100,2524286181,100,2.3
20,027,Kansas,Clay,8535,1671322093,4307,50.46,5608574,0.34,1988.9,0,0,0,0,,4307,50.46,5608574,0.34,1988.9,4228,49.54,1665713519,99.66,6.6
20,029,Kansas,Cloud,9533,1852726587,5340,56.02,6465251,0.35,2139.2,0,0,0,0,,5340,56.02,6465251,0.35,2139.2,4193,43.98,1846261336,99.65,5.9
20,031,Kansas,Coffey,8601,1623784229,2503,29.1,4148454,0.26,1562.7,0,0,0,0,,2503,29.1,4148454,0.26,1562.7,6098,70.9,1619635775,99.74,9.8
20,033,Kansas,Comanche,1891,2041681413,0,0,0,0,,0,0,0,0,,0,0,0,0,,1891,100,2041681413,100,2.4
20,035,Kansas,Cowley,36311,2915679697,25055,69,40068942,1.37,1619.5,0,0,0,0,,25055,69,40068942,1.37,1619.5,11256,31,2875610755,98.63,10.1
20,037,Kansas,Crawford,39134,1527461827,25465,65.07,34003136,2.23,1939.6,0,0,0,0,,25465,65.07,34003136,2.23,1939.6,13669,34.93,1493458691,97.77,23.7
20,039,Kansas,Decatur,2961,2314199313,0,0,0,0,,0,0,0,0,,0,0,0,0,,2961,100,2314199313,100,3.3
20,041,Kansas,Dickinson,19754,2193906542,7054,35.71,8773263,0.4,2082.4,0,0,0,0,,7054,35.71,8773263,0.4,2082.4,12700,64.29,2185133279,99.6,15.1
20,043,Kansas,Doniphan,7945,1018914848,2368,29.8,8392063,0.82,730.8,2368,29.8,8392063,0.82,730.8,0,0,0,0,,5577,70.2,1010522785,99.18,14.3
20,045,Kansas,Douglas,110826,1180699859,98621,88.99,90667192,7.68,2817.2,88053,79.45,78847501,6.68,2892.4,10568,9.54,11819691,1,2315.7,12205,11.01,1090032667,92.32,29
20,047,Kansas,Edwards,3037,1610697086,0,0,0,0,,0,0,0,0,,0,0,0,0,,3037,100,1610697086,100,4.9
20,049,Kansas,Elk,2882,1668637984,0,0,0,0,,0,0,0,0,,0,0,0,0,,2882,100,1668637984,100,4.5
20,051,Kansas,Ellis,28452,2330762469,21180,74.44,26435139,1.13,2075.1,0,0,0,0,,21180,74.44,26435139,1.13,2075.1,7272,25.56,2304327330,98.87,8.2
20,053,Kansas,Ellsworth,6497,1854034693,2982,45.9,3388786,0.18,2279.1,0,0,0,0,,2982,45.9,3388786,0.18,2279.1,3515,54.1,1850645907,99.82,4.9
20,055,Kansas,Finney,36776,3372079580,29942,81.42,33320310,0.99,2327.4,0,0,0,0,,29942,81.42,33320310,0.99,2327.4,6834,18.58,3338759270,99.01,5.3
20,057,Kansas,Ford,33848,2844508251,27316,80.7,27889363,0.98,2536.7,0,0,0,0,,27316,80.7,27889363,0.98,2536.7,6532,19.3,2816618888,99.02,6
20,059,Kansas,Franklin,25992,1480840246,12450,47.9,13961389,0.94,2309.6,0,0,0,0,,12450,47.9,13961389,0.94,2309.6,13542,52.1,1466878857,99.06,23.9
20,061,Kansas,Geary,34362,996156662,30351,88.33,47713473,4.79,1647.5,0,0,0,0,,30351,88.33,47713473,4.79,1647.5,4011,11.67,948443189,95.21,11
20,063,Kansas,Gove,2695,2775599078,0,0,0,0,,0,0,0,0,,0,0,0,0,,2695,100,2775599078,100,2.5
