school_dist,county,school_dist_name,total_pop_est,child_pop_5-7,child_5-7_poverty_numb,child_5-7_poverty_percent
412,SHERIDAN,   Hoxie Community Schools ,2099,347,43,12.4
211,SHERIDAN,   Norton Community Schools ,4728,629,76,12.1
274,SHERIDAN,   Oakley ,2690,444,54,12.2
294,SHERIDAN,   Oberlin ,2677,388,85,21.9
293,SHERIDAN,   Quinter Public Schools ,1441,293,46,15.7
292,SHERIDAN,   Wheatland ,815,139,22,15.8
314,SHERMAN,   Brewster ,586,99,7,7.1
352,SHERMAN,   Goodland ,5838,1054,177,16.8
392,SMITH,   Osborne County ,1945,302,66,21.9
237,SMITH,   Smith Center ,2707,379,59,15.6
110,SMITH,   Thunder Ridge ,1566,254,41,16.1
272,SMITH,   Waconda ,2427,383,59,15.4
401,STAFFORD,   Chase-Raymond ,844,154,32,20.8
355,STAFFORD,   Ellinwood Public Schools ,2688,435,38,8.7
310,STAFFORD,   Fairfield ,2365,413,63,15.3
428,STAFFORD,   Great Bend ,17906,3185,512,16.1
351,STAFFORD,   Macksville ,1261,250,47,18.8
438,STAFFORD,   Skyline Schools ,1099,228,38,16.7
350,STAFFORD,   St. John-Hudson ,1742,293,37,12.6
349,STAFFORD,   Stafford ,1356,202,50,24.8
452,STANTON,   Stanton County,2019,428,48,11.2
210,STEVENS,   Hugoton Public Schools ,4837,1038,134,12.9
209,STEVENS,   Moscow Public Schools ,708,177,11,6.2
507,STEVENS,   Satanta ,1652,343,57,16.6
359,SUMNER,   Argonia Public Schools ,971,171,20,11.7
470,SUMNER,   Arkansas City ,16057,2876,498,17.3
357,SUMNER,   Belle Plaine ,3135,586,64,10.9
360,SUMNER,   Caldwell ,1388,196,37,18.9
264,SUMNER,   Clearwater ,6067,1301,182,14
356,SUMNER,   Conway Springs ,2547,602,81,13.5
331,SUMNER,   Kingman-Norwich ,5689,994,163,16.4
263,SUMNER,   Mulvane ,10113,2024,207,10.2
358,SUMNER,   Oxford ,1785,282,30,10.6
509,SUMNER,   South Haven ,834,163,18,11
463,SUMNER,   Udall ,1946,363,46,12.7
353,SUMNER,   Wellington ,9143,1668,232,13.9
314,THOMAS,   Brewster ,586,99,7,7.1
315,THOMAS,   Colby Public Schools ,6544,1036,91,8.8
316,THOMAS,   Golden Plains ,781,162,22,13.6
291,THOMAS,   Grinnell Public Schools ,565,92,20,21.7
274,THOMAS,   Oakley ,2690,444,54,12.2
275,THOMAS,   Triplains ,470,86,19,22.1
388,TREGO,   Ellis ,2585,504,50,9.9
395,TREGO,   LaCrosse ,2109,311,50,16.1
208,TREGO,   WaKeeney ,2666,361,47,13
106,TREGO,   Western Plains ,1170,174,23,13.2
321,WABAUNSEE,   Kaw Valley ,8199,2179,186,8.5
383,WABAUNSEE,   Manhattan ,63014,6400,770,12
329,WABAUNSEE,   Mill Creek Valley ,3522,624,46,7.4
417,WABAUNSEE,   Morris County ,4898,703,105,14.9
251,WABAUNSEE,   North Lyon County ,3365,605,62,10.2
330,WABAUNSEE,   Wabaunsee East ,3139,514,39,7.6
320,WABAUNSEE,   Wamego ,8303,1613,157,9.7
275,WALLACE,   Triplains ,470,86,19,22.1
241,WALLACE,   Wallace County Schools ,1200,195,36,18.5
242,WALLACE,   Weskan ,317,71,9,12.7
223,WASHINGTON,   Barnes ,2412,388,52,13.4
224,WASHINGTON,   Clifton-Clyde ,1789,283,37,13.1
364,WASHINGTON,   Marysville ,5152,880,108,12.3
108,WASHINGTON,   North Central-Washington Schools ,2475,377,41,10.9
109,WASHINGTON,   Republic County-Hillcrest Rural Schools ,3563,534,106,19.9
498,WASHINGTON,   Valley Heights ,2168,385,49,12.7
467,WICHITA,   Leoti ,2139,430,60,14
466,WICHITA,   Scott County ,4834,981,99,10.1
387,WILSON,   Altoona-Midway ,1506,238,34,14.3
447,WILSON,   Cherryvale ,3892,774,147,19
484,WILSON,   Fredonia ,4270,722,121,16.8
461,WILSON,   Neodesha ,3238,629,98,15.6
387,WOODSON,   Altoona-Midway ,1506,238,34,14.3
389,WOODSON,   Eureka ,4058,642,107,16.7
484,WOODSON,   Fredonia ,4270,722,121,16.8
258,WOODSON,   Humboldt ,2619,468,67,14.3
245,WOODSON,   LeRoy-Gridley ,1582,245,30,12.2
386,WOODSON,   Madison-Virgil ,1223,220,47,21.4
366,WOODSON,   Woodson ,2605,424,88,20.8
204,WYANDOTTE,   Bonner Springs ,14179,2662,446,16.8
500,WYANDOTTE,   Kansas City ,121127,24038,7385,30.7
203,WYANDOTTE,   Piper,10604,2167,136,6.3
202,WYANDOTTE,   Turner,19754,4060,926,22.8
