school_dist,county,school_dist_name,total_pop_est,child_pop_5-7,child_5-7_poverty_numb,child_5-7_poverty_percent
345,JEFFERSON,   Seaman ,20284,3918,223,5.7
338,JEFFERSON,   Valley Falls ,2305,430,30,7
273,JEWELL,   Beloit ,4748,800,129,16.1
333,JEWELL,   Concordia ,6446,1074,166,15.5
426,JEWELL,   Pike Valley ,1100,200,27,13.5
109,JEWELL,   Republic County-Hillcrest Rural Schools ,3563,534,106,19.9
107,JEWELL,   Rock Hills ,2613,372,73,19.6
237,JEWELL,   Smith Center ,2707,379,59,15.6
229,JOHNSON,   Blue Valley ,126202,26720,622,2.3
232,JOHNSON,   De Soto ,35062,7961,197,2.5
491,JOHNSON,   Eudora ,8215,1681,146,8.7
231,JOHNSON,   Gardner Edgerton ,27698,5234,319,6.1
233,JOHNSON,   Olathe ,162141,30964,1787,5.8
512,JOHNSON,   Shawnee Mission Public Schools ,242609,34650,2314,6.7
230,JOHNSON,   Spring Hill ,12758,2586,88,3.4
289,JOHNSON,   Wellsville ,4788,886,46,5.2
216,KEARNY,   Deerfield ,1031,218,24,11
215,KEARNY,   Lakin ,2807,599,64,10.7
467,KEARNY,   Leoti ,2139,430,60,14
361,KINGMAN,   Anthony-Harper ,4582,851,150,17.6
268,KINGMAN,   Cheney ,3604,800,66,8.3
332,KINGMAN,   Cunningham ,1231,142,24,16.9
331,KINGMAN,   Kingman-Norwich ,5689,994,163,16.4
311,KINGMAN,   Pretty Prairie ,1535,252,36,14.3
300,KIOWA,   Comanche County ,1733,314,37,11.8
422,KIOWA,   Greensburg ,1597,284,37,13
474,KIOWA,   Haviland ,871,133,28,21.1
247,LABETTE,   Cherokee ,4412,787,139,17.7
447,LABETTE,   Cherryvale ,3892,774,147,19
505,LABETTE,   Chetopa-St. Paul ,2470,448,85,19
506,LABETTE,   Labette County ,7045,1347,241,17.9
504,LABETTE,   Oswego,2027,339,49,14.5
503,LABETTE,   Parsons ,9133,1500,302,20.1
482,LANE,   Dighton ,1267,196,27,13.8
468,LANE,   Healy Public Schools ,303,59,10,16.9
466,LANE,   Scott County ,4834,981,99,10.1
458,LEAVENWORTH,   Basehor-Linwood ,12805,2218,82,3.7
204,LEAVENWORTH,   Bonner Springs ,14179,2662,446,16.8
449,LEAVENWORTH,   Easton ,3703,657,25,3.8
491,LEAVENWORTH,   Eudora ,8215,1681,146,8.7
207,LEAVENWORTH,   Fort Leavenworth ,8399,1681,49,2.9
339,LEAVENWORTH,   Jefferson County North ,2275,397,34,8.6
500,LEAVENWORTH,   Kansas City ,121127,24038,7385,30.7
469,LEAVENWORTH,   Lansing ,15453,2590,143,5.5
497,LEAVENWORTH,   Lawrence ,102112,12302,1338,10.9
453,LEAVENWORTH,   Leavenworth ,28926,4505,664,14.7
342,LEAVENWORTH,   McLouth ,3357,597,57,9.5
464,LEAVENWORTH,   Tonganoxie ,10981,2056,105,5.1
112,LINCOLN,   Central Plains,3514,570,56,9.8
298,LINCOLN,   Lincoln,2255,390,50,12.8
239,LINCOLN,   North Ottawa County,3252,546,62,11.4
299,LINCOLN,   Sylvan Grove ,1579,235,43,18.3
365,LINN,   Garnett ,6767,1296,182,14
346,LINN,   Jayhawk ,3385,517,103,19.9
344,LINN,   Pleasanton ,2000,347,48,13.8
362,LINN,   Prairie View ,5740,1007,123,12.2
467,LOGAN,   Leoti ,2139,430,60,14
274,LOGAN,   Oakley ,2690,444,54,12.2
466,LOGAN,   Scott County ,4834,981,99,10.1
275,LOGAN,   Triplains ,470,86,19,22.1
241,LOGAN,   Wallace County Schools ,1200,195,36,18.5
284,LYON,   Chase County ,2659,400,55,13.8
253,LYON,   Emporia ,26884,4240,607,14.3
243,LYON,   Lebo-Waverly ,2636,444,36,8.1
386,LYON,   Madison-Virgil ,1223,220,47,21.4
417,LYON,   Morris County ,4898,703,105,14.9
251,LYON,   North Lyon County ,3365,605,62,10.2
252,LYON,   Southern Lyon County ,2847,539,53,9.8
330,LYON,   Wabaunsee East ,3139,514,39,7.6
419,MCPHERSON,   Canton-Galva ,2660,467,24,5.1
411,MCPHERSON,   Goessel ,1511,255,19,7.5
460,MCPHERSON,   Hesston ,4563,817,52,6.4
448,MCPHERSON,   Inman ,2558,477,37,7.8
444,MCPHERSON,   Little River ,1475,309,28,9.1
418,MCPHERSON,   McPherson ,14411,2469,190,7.7
423,MCPHERSON,   Moundridge ,3443,556,36,6.5
400,MCPHERSON,   Smoky Valley ,6259,1007,86,8.5
306,MCPHERSON,   Southeast of Saline ,3004,586,56,9.6
397,MARION,   Centre ,1460,288,40,13.9
284,MARION,   Chase County ,2659,400,55,13.8
410,MARION,   Durham-Hillsboro-Lehigh ,4108,612,51,8.3
