id,u_r_code,ur_binary,avg_has_zero,avg_has_one,avg_has_two,avg_has_3more
20001,R,1,3074.4444444444444444,1268.8934240362811791,818.1315192743764172,2314.5306122448979592
20003,R,1,2491.6530612244897959,431.8367346938775510,712.8344671201814059,1406.6757369614512472
20005,R,1,1128.0045351473922902,449.4693877551020408,285.4013605442176871,1015.1247165532879819
20007,R,1,1366.7256235827664399,1339.5918367346938776,504.1904761904761905,1147.4920634920634921
20009,R,1,2675.2698412698412698,2259.4331065759637188,1059.0204081632653061,2218.2766439909297052
20011,R,1,3480.7437641723356009,696.7392290249433107,915.4739229024943311,2057.0430839002267574
20013,R,1,1285.8095238095238095,563.3560090702947846,385.8775510204081633,1094.9569160997732426
20015,R,1,11816.970521541950,2910.3129251700680272,3708.9569160997732426,9545.7596371882086168
20017,R,1,1467.1972789115646259,274.8843537414965986,403.8004535147392290,440.1179138321995465
20019,R,1,1689.2834467120181406,302.7845804988662132,532.6984126984126984,705.2335600907029478
20021,R,1,3317.4104308390022676,1819.9319727891156463,1765.0521541950113379,2949.6054421768707483
20023,R,1,1162.2222222222222222,502.9750566893424036,426.5306122448979592,508.2721088435374150
20025,R,1,953.7482993197278912,339.1020408163265306,232.7074829931972789,437.4421768707482993
20027,R,1,1287.0612244897959184,1222.2857142857142857,534.6122448979591837,948.0408163265306122
20029,R,1,1379.3129251700680272,1181.6054421768707483,512.9387755102040816,1065.1428571428571429
20031,R,1,2320.4285714285714286,829.1292517006802721,645.5646258503401361,1999.8775510204081633
20033,R,1,886.9614512471655329,192.1451247165532880,255.4285714285714286,355.4648526077097506
20035,R,1,4876.8730158730158730,1606.4943310657596372,1474.7301587301587302,3354.9024943310657596
20037,R,1,3693.4535147392290249,3712.8662131519274376,1882.9115646258503401,4415.7687074829931973
20039,R,1,1173.4875283446712018,528.7346938775510204,387.9546485260770975,685.8231292517006803
20041,R,1,4889.2834467120181406,2726.1995464852607710,1539.7324263038548753,2980.7845804988662132
20043,R,1,1029.8480725623582766,476.1995464852607710,288.1904761904761905,895.7619047619047619
20045,R,1,7130.8820861678004535,2291.7596371882086168,2141.4104308390022676,5934.9478458049886621
20047,R,1,1082.6349206349206349,661.9138321995464853,376.0725623582766440,629.3786848072562358
20049,R,1,1228.6054421768707483,354.6031746031746032,325.6145124716553288,598.1768707482993197
20051,R,1,2118.0430839002267574,2728.4172335600907029,1153.6598639455782313,1792.8798185941043084
20053,R,1,1415.6825396825396825,913.3424036281179138,462.6485260770975057,696.3265306122448980
20055,R,1,3231.5396825396825397,885.8412698412698413,888.3401360544217687,2117.2789115646258503
20057,R,1,3530.0861678004535147,888.3265306122448980,934.2857142857142857,2071.3015873015873016
20059,R,1,6478.6780045351473923,1308.8163265306122449,1550.0770975056689342,4567.4285714285714286
20061,R,1,2091.0544217687074830,1125.1292517006802721,726.9206349206349206,1585.8956916099773243
20063,R,1,1115.6394557823129252,686.5668934240362812,359.9274376417233560,458.8662131519274376
20065,R,1,735.6666666666666667,781.2607709750566893,288.5804988662131519,583.4920634920634921
20067,R,1,681.8956916099773243,266.0680272108843537,179.2108843537414966,372.8253968253968254
20069,R,1,2613.5102040816326531,1054.5215419501133787,703.7006802721088435,1582.2675736961451247
20071,R,1,484.9795918367346939,203.6825396825396825,141.3061224489795918,366.0317460317460317
20073,R,1,1731.9024943310657596,638.1496598639455782,574.5487528344671202,816.3990929705215420
20075,R,1,975.5668934240362812,433.3242630385487528,218.6848072562358277,797.4240362811791383
20077,R,1,1439.3696145124716553,1476.2857142857142857,700.7936507936507937,1719.5510204081632653
20079,R,1,4496.9977324263038549,1493.0022675736961451,1334.6802721088435374,3821.3197278911564626
20081,R,1,1560.9501133786848073,649.3469387755102041,434.1632653061224490,1278.5396825396825397
20083,R,1,859.8888888888888889,234.8707482993197279,224.5941043083900227,459.6462585034013605
20085,R,1,2178.0963718820861678,706.7437641723356009,616.6666666666666667,1520.9931972789115646
20087,R,1,7455.0839002267573696,2774.0408163265306122,2328.2766439909297052,6246.5986394557823129
20089,R,1,1149.8163265306122449,746.9387755102040816,368.5260770975056689,567.7188208616780045
20091,R,1,8329.1337868480725624,5620.1814058956916100,4366.9115646258503401,11835.773242630385
20093,R,1,1443.3219954648526077,763.1201814058956916,455.9818594104308390,1082.5759637188208617
20095,R,1,2009.5306122448979592,565.9682539682539683,628.7120181405895692,1306.7891156462585034
20097,R,1,1127.1836734693877551,360.1360544217687075,330.7120181405895692,637.9682539682539683
20099,R,1,5111.2176870748299320,991.9818594104308390,1362.7029478458049887,3357.0975056689342404
20101,R,1,537.5464852607709751,357.5419501133786848,193.1519274376417234,429.7596371882086168
20103,R,1,10676.798185941043,3251.6371882086167800,3171.4784580498866213,8592.0861678004535147
20105,R,1,1251.8775510204081633,619.6462585034013605,392.1360544217687075,722.3401360544217687
20107,R,1,3885.7097505668934240,2021.0158730158730159,1215.3741496598639456,2531.9002267573696145
20109,R,1,1097.8140589569160998,638.7664399092970522,440.1723356009070295,555.2471655328798186
20111,R,1,4071.3696145124716553,992.1269841269841270,1258.5306122448979592,2759.9727891156462585
20113,R,1,4898.8049886621315193,2534.4580498866213152,1596.4399092970521542,4095.2970521541950113
20115,R,1,3855.6984126984126984,1632.7981859410430839,1078.3129251700680272,2844.1904761904761905
20117,R,1,3002.1111111111111111,1501.9138321995464853,882.4399092970521542,1588.5351473922902494
20119,R,1,2308.7278911564625850,283.5555555555555556,691.1383219954648526,745.5782312925170068
20121,R,1,8743.6507936507936508,1404.0317460317460317,1893.7505668934240363,6054.5668934240362812
20123,R,1,1002.3151927437641723,878.6984126984126984,318.6349206349206349,619.3514739229024943
20125,R,1,6246.3356009070294785,1780.2448979591836735,1746.8299319727891156,4476.5895691609977324
20127,R,1,1723.7165532879818594,1937.4149659863945578,681.1972789115646259,1216.6712018140589569
20129,R,1,1206.1632653061224490,309.8684807256235828,308.0725623582766440,713.8956916099773243
