id_ur,county_desc,u_r_code,avg_zero,avg_one,avg_two,avg_three,perc_zero,perc_one,perc_two,perc_three,avg_speed,max_speed
20001U,Allen,U,1496.76,1107.86,629.955,1688.42,0.0328909540176392,0.0444368648529053,0.0781484842300415,0.0291574859619141,9.8,25
20003U,Anderson,U,1127.71,422.422,289.669,1064.2,0.0257513070106506,0.068746452331543,0.100252380371094,0.0272881150245666,9.8,25
20005U,Atchison,U,3699.15,1483.16,1114.94,3961.76,0.0277334356307983,0.0691700458526611,0.0920140266418457,0.0258950591087341,9.8,25
20009U,Barton,U,5907.99,4627.39,2297.94,4612.68,0.0295295190811157,0.0377015805244446,0.0759201335906982,0.0378218293190002,9.8,25
20011U,Bourbon,U,2361.8,1417.12,659.424,2846.66,0.0308450818061829,0.0514072370529175,0.110475196838379,0.0255914163589478,8.73333333333333,25
20013U,Brown,U,1085.65,415.741,202.29,1118.32,0.0259937334060669,0.0678787183761597,0.139502515792847,0.0252342343330383,7.73333333333333,25
20015U,Butler,U,11256.8,8292.12,4058.76,15400.3,0.0346528935432434,0.0470422649383545,0.0961081218719482,0.0253293108940125,9.8,25
20021U,Cherokee,U,2779.78,2448.71,1295.37,3305.14,0.0353588533401489,0.0401395416259766,0.0758782196044922,0.0297385025024414,9.8,25
20027U,Clay,U,845.658,1344.39,692.463,1150.49,0.0476906967163086,0.0299986338615417,0.0582414150238037,0.0350547742843628,129.854545454545,1000
20029U,Cloud,U,1742.46,842.145,609.419,1308.98,0.0258427691459656,0.0534705924987793,0.0738899898529053,0.0344009590148926,9.8,25
20031U,Coffey,U,623.177,563.243,265.338,911.243,0.0379186081886292,0.041953501701355,0.0890562725067139,0.0259316229820251,9.8,25
20035U,Cowley,U,7223.02,5266.03,2953.49,7872.46,0.0322787499427795,0.0442743253707886,0.0789405727386475,0.0296158933639526,9.8,25
20037U,Crawford,U,4363.61,7530.47,4636.29,8494.63,0.0573493337631226,0.03323166847229,0.0539763450622559,0.0294597721099854,129.854545454545,1000
20041U,Dickinson,U,2600.98,1311.41,804.327,1413.28,0.0235680437088013,0.0467435693740845,0.0762128257751465,0.043374171257019,9.8,25
20043U,Doniphan,U,841.247,349.646,182.812,742.295,0.0251531291007996,0.060518307685852,0.115747451782227,0.0285061955451965,7.62857142857143,25
20045U,Douglas,U,31394.9,17857,13652.6,42124.5,0.0334541845321655,0.0588167762756348,0.0769296789169312,0.0249329710006714,9.8,25
20051U,Ellis,U,4450.52,6978.19,3604.16,5844.12,0.0469090843200684,0.0299174785614014,0.0579246759414673,0.0357230997085571,129.854545454545,1000
20053U,Ellsworth,U,513.184,702.961,659.669,670.186,0.0496118688583374,0.036218204498291,0.0385951161384583,0.0379894590377808,7.62857142857143,25
20055U,Finney,U,9714.34,6041.28,2697.35,10341,0.0296407032012939,0.0476620960235596,0.106749334335327,0.0278444242477417,9.8,25
20057U,Ford,U,8550.29,5769.34,2465.12,8885.24,0.0300223565101624,0.0444938087463379,0.104132852554321,0.0288906025886536,9.8,25
20059U,Franklin,U,4552.5,1684.75,994.689,4561.06,0.0259044432640076,0.0699983978271484,0.118559627532959,0.0258558511734009,9.8,25
20061U,Geary,U,9494.37,6192.68,3635.3,7360.65,0.0281040120124817,0.0430879974365234,0.0733997774124145,0.0362508606910706,9.8,25
20067U,Grant,U,1994.45,1496.4,708.045,1378.1,0.0279625773429871,0.0372694706916809,0.0787661409378052,0.040468635559082,34.0461538461538,250
20073U,Greenwood,U,675.581,531.429,286.512,613.478,0.0311879920959473,0.0396478486061096,0.0735395526885986,0.0343451333045959,7.23333333333333,25
20079U,Harvey,U,6838.49,4986.88,2192.59,9127.04,0.0338452053070068,0.0464117431640625,0.105560111999512,0.0253587198257446,9.8,25
20085U,Jackson,U,1367.41,661.578,402.449,694.567,0.0228608059883118,0.0472506475448608,0.0776744413375854,0.0450064659118652,9.8,25
20087U,Jefferson,U,78.2132,42.8299,33.3424,73.6145,0.0291511082649231,0.0532337999343872,0.0683813953399658,0.0309721541404724,9.8,25
20091U,Johnson,U,98168.9,119434,117348,242088,0.0587802267074585,0.0483145475387573,0.0491732168197632,0.0238359141349792,9.8,25
20095U,Kingman,U,793.984,531.102,200.027,937.887,0.031020770072937,0.0463752698898315,0.123133249282837,0.0262611699104309,9.8,25
20099U,Labette,U,2846.18,2123.83,1124.29,2668.7,0.0307885980606079,0.0412604093551636,0.0779425048828125,0.0328362321853638,9.8,25
20103U,Leavenworth,U,15681.5,12208.2,7284.82,21379.4,0.0360640859603882,0.0463245344161987,0.0776326560974121,0.0264525246620178,7.62857142857143,25
20111U,Lyon,U,3593.81,6180.47,4089.13,10099.6,0.0666785860061646,0.0387721490859985,0.0586017179489136,0.0237266898155212,9.8,25
20113U,McPherson,U,3895.16,3771.66,1961.21,5694.97,0.0393385291099548,0.0406266736984253,0.0781304836273193,0.0269061970710754,9.8,25
20115U,Marion,U,723.367,479.401,243.501,794.73,0.030980110168457,0.0467458009719849,0.0920324230194092,0.0281982493400574,9.8,25
20117U,Marshall,U,1097.56,462.721,357.578,759.138,0.0243904137611389,0.057853422164917,0.0748647403717041,0.0352636671066284,16.05,100
20121U,Miami,U,5632.35,2702.15,1568.62,6330.88,0.0288227891921997,0.0600779962539673,0.103492460250854,0.0256425666809082,9.8,25
20123U,Mitchell,U,1279.49,671.814,394.571,714.127,0.0239158248901367,0.0455483150482178,0.0775524950027466,0.0428495216369629,19.8222222222222,100
