20001R,20001,Allen,R,3074.44,1268.89,818.132,2314.53,0.0243165898323059,0.0589174795150757,0.0913789463043213,0.0323002862930298,83.8283561420658,1000
20003R,20003,Anderson,R,2491.65,431.837,712.834,1406.68,0.0202395749092102,0.116780242919922,0.070745735168457,0.0358504796028137,14.4743711843712,100
20005R,20005,Atchison,R,1128,449.469,285.401,1015.12,0.0255140829086304,0.0640310573577881,0.100840444564819,0.0283511972427368,88.5691051528541,1000
20007R,20007,Barber,R,1366.73,1339.59,504.19,1147.49,0.0318864297866821,0.0325322985649109,0.0864355850219727,0.0379784750938416,123.310167427702,1000
20009R,20009,Barton,R,2675.27,2259.43,1059.02,2218.28,0.0306959700584412,0.0363454008102417,0.0775433588027954,0.0370197296142578,81.5811290078645,1000
20011R,20011,Bourbon,R,3480.74,696.739,915.474,2057.04,0.0205415868759155,0.102620887756348,0.0781016206741333,0.0347586321830749,83.8874644666914,1000
20013R,20013,Brown,R,1285.81,563.356,385.878,1094.96,0.0258980798721313,0.0591100454330444,0.0862968063354492,0.0304121565818787,75.5850829232732,1000
20015R,20015,Butler,R,11817,2910.31,3708.96,9545.76,0.0236795043945312,0.0961477375030518,0.0754443883895874,0.0293135380744934,109.724248333389,1000
20017R,20017,Chase,R,1467.2,274.884,403.8,440.118,0.0176254415512085,0.0940759181976318,0.0640415334701538,0.0587569808959961,74.1957292972139,1000
20019R,20019,Chautauqua,R,1689.28,302.785,532.698,705.234,0.0191205334663391,0.106676502227783,0.0606346845626831,0.0458004283905029,16.5076358461596,100
20021R,20021,Cherokee,R,3317.41,1819.93,1765.05,2949.61,0.0296978640556335,0.0541338920593262,0.0558170461654663,0.0334010767936707,120.276385688684,1000
20023R,20023,Cheyenne,R,1162.22,502.975,426.531,508.272,0.0223709368705749,0.0516924238204956,0.0609569358825684,0.0511537027359009,78.2919591901801,1000
20025R,20025,Clark,R,953.748,339.102,232.707,437.442,0.0205819511413574,0.0578881788253784,0.084354829788208,0.0448745012283325,74.6914357653393,1000
20027R,20027,Clay,R,1287.06,1222.29,534.612,948.041,0.0310163950920105,0.0326601219177246,0.0746709489822388,0.042107892036438,104.517981578074,1000
20029R,20029,Cloud,R,1379.31,1181.61,512.939,1065.14,0.0300076961517334,0.035028612613678,0.0806918907165527,0.0388586378097534,124.059013658638,1000
20031R,20031,Coffey,R,2320.43,829.129,645.565,1999.88,0.0249738359451294,0.0698925971984863,0.08976637840271,0.0289767742156982,86.5198570315977,1000
20033R,20033,Comanche,R,886.961,192.145,255.429,355.465,0.0190538167953491,0.0879543495178223,0.0661633110046387,0.0475433778762817,72.7623832278617,1000
20035R,20035,Cowley,R,4876.87,1606.49,1474.73,3354.9,0.0231972408294678,0.0704204130172729,0.0767123413085938,0.0337208008766174,89.6664083368309,1000
20037R,20037,Crawford,R,3693.45,3712.87,1882.91,4415.77,0.037106192111969,0.0369121837615967,0.0727862119674683,0.0310365009307861,129.435267616834,1000
20039R,20039,Decatur,R,1173.49,528.735,387.955,685.823,0.0236559820175171,0.052502703666687,0.0715547561645508,0.0404769086837769,77.6348577325667,1000
20041R,20041,Dickinson,R,4889.28,2726.2,1539.73,2980.78,0.0248216342926025,0.0445161867141724,0.0788188886642456,0.040714111328125,120.442700924609,1000
20043R,20043,Doniphan,R,1029.85,476.2,288.19,895.762,0.0261203598976135,0.0564889240264893,0.0933410358428955,0.030030300617218,60.282155471121,1000
20045R,20045,Douglas,R,7130.88,2291.76,2141.41,5934.95,0.0245397400856018,0.0763561773300171,0.0817171669006348,0.0294846749305725,134.374333355419,1000
20047R,20047,Edwards,R,1082.63,661.914,376.073,629.379,0.0254009914398193,0.0415461921691894,0.0731241846084595,0.0436938858032227,72.6134068627451,1000
20049R,20049,Elk,R,1228.61,354.603,325.615,598.177,0.0204052495956421,0.0706987476348877,0.076992883682251,0.0419106817245483,18.6428433402346,100
20051R,20051,Ellis,R,2118.04,2728.42,1153.66,1792.88,0.0367933988571167,0.0285623478889465,0.0675502347946167,0.0434663820266724,79.6495217217322,1000
20053R,20053,Ellsworth,R,1415.68,913.342,462.649,696.327,0.0246382927894592,0.0381894016265869,0.0753920030593872,0.0500914430618286,84.4827066406475,1000
20055R,20055,Finney,R,3231.54,885.841,888.34,2117.28,0.0220421242713928,0.0804094409942627,0.0801832485198975,0.0336422395706177,74.0354121863799,1000
20057R,20057,Ford,R,3530.09,888.327,934.286,2071.3,0.0210306477546692,0.0835728740692139,0.0794617748260498,0.0358421993255615,81.5021513914096,1000
20059R,20059,Franklin,R,6478.68,1308.82,1550.08,4567.43,0.0214627122879028,0.106241044998169,0.0897052192687988,0.0304438281059265,30.1735329555259,250
20061R,20061,Geary,R,2091.05,1125.13,726.921,1585.9,0.0264412045478821,0.0491410207748413,0.0760605716705322,0.0348635768890381,64.2620567995804,1000
20063R,20063,Gove,R,1115.64,686.567,359.927,458.866,0.0234932541847229,0.0381754493713379,0.0728202342987061,0.0571190452575684,92.9822194110619,1000
20065R,20065,Graham,R,735.667,781.261,288.581,583.492,0.0324739456176758,0.0305787801742554,0.0827845287322998,0.0409431457519531,80.1067744107744,1000
20067R,20067,Grant,R,681.896,266.068,179.211,372.825,0.0219975018501282,0.0563765668869019,0.0837002754211426,0.0402333116531372,29.8561609301847,250
20069R,20069,Gray,R,2613.51,1054.52,703.701,1582.27,0.0227816200256348,0.0564616298675537,0.0846098327636719,0.0376295399665833,17.2251851851852,100
